fid,X,Y,drn_id,value
338,23268.5416,5742.948,142222,1.0
339,23268.5416,5712.948,142222,1.0
340,23268.5416,5682.948,142222,1.0
341,23268.5416,5652.948,142222,1.0
342,23268.5416,5622.948,142222,1.0
343,23268.5416,5592.948,142222,1.0
344,23268.5416,5562.948,142222,1.0
345,23268.5416,5532.948,142222,1.0
346,23268.5416,5502.948,142222,1.0
347,23298.5416,5502.948,142222,1.0
348,23328.5416,5502.948,142222,1.0
349,23358.5416,5502.948,142222,1.0
350,23388.5416,5502.948,142222,1.0
351,23418.5416,5502.948,142222,1.0
352,23448.5416,5502.948,142222,1.0
353,23478.5416,5502.948,142222,1.0
354,23508.5416,5502.948,142222,1.0
355,23538.5416,5502.948,142222,1.0
356,23568.5416,5502.948,142222,1.0
357,23598.5416,5502.948,142222,1.0
358,23628.5416,5502.948,142222,1.0
359,23658.5416,5502.948,142222,1.0
360,23688.5416,5502.948,142222,1.0
361,23718.5416,5502.948,142222,1.0
362,23748.5416,5502.948,142222,1.0
363,23778.5416,5502.948,142222,1.0
364,23808.5416,5502.948,142222,1.0
365,23838.5416,5502.948,142222,1.0
366,23868.5416,5502.948,142222,1.0
367,23898.5416,5502.948,142222,1.0
368,23928.5416,5502.948,142222,1.0
369,23958.5416,5502.948,142222,1.0
370,24438.5416,5502.948,142222,1.0
371,24468.5416,5502.948,142222,1.0
372,24498.5416,5502.948,142222,1.0
373,24528.5416,5502.948,142222,1.0
374,24558.5416,5502.948,142222,1.0
375,24588.5416,5502.948,142222,1.0
376,24618.5416,5502.948,142222,1.0
377,24648.5416,5502.948,142222,1.0
378,24678.5416,5502.948,142222,1.0
379,24708.5416,5502.948,142222,1.0
380,24738.5416,5502.948,142222,1.0
381,24768.5416,5502.948,142222,1.0
382,24798.5416,5502.948,142222,1.0
383,24828.5416,5502.948,142222,1.0
384,24858.5416,5502.948,142222,1.0
385,23988.5416,5472.948,142222,1.0
386,24018.5416,5472.948,142222,1.0
387,24048.5416,5472.948,142222,1.0
388,24078.5416,5472.948,142222,1.0
